Citation,Citation Link,Protein,Protein codes,Protein Concentration (%),Treatment code,Treatment condition code,Treatment condition value,Treatment temperature ( °C),Treatment time (min),Additives,Additives Concentration (%),pH,Type of salt,ionic strength (M),Heating temperature (°C) for gel preparation,Heating/hold time (min),Samples stored (°C),Storage time (h),If a gel can be formed (0-1),Hardness/firmness/strength (g)
"Zhang, L.; Ge, H.; Zhao, J.; Liu, C.; Wang, Y. L-Theanine Improves the Gelation of Ginkgo Seed Proteins at Different pH Levels. Gels 2024, 10, 131.",https://doi.org/10.3390/gels10020131,Ginkgo Seed Protein Isolate (GSPI),10501,12,,,,,,,,5,,,90,30,4,12,1,131.91
"Zhang, L.; Ge, H.; Zhao, J.; Liu, C.; Wang, Y. L-Theanine Improves the Gelation of Ginkgo Seed Proteins at Different pH Levels. Gels 2024, 10, 131.",https://doi.org/10.3390/gels10020131,Ginkgo Seed Protein Isolate (GSPI),10501,12,,,,,,80203,0.5,5,,,90,30,4,12,1,155.91
"Zhang, L.; Ge, H.; Zhao, J.; Liu, C.; Wang, Y. L-Theanine Improves the Gelation of Ginkgo Seed Proteins at Different pH Levels. Gels 2024, 10, 131.",https://doi.org/10.3390/gels10020131,Ginkgo Seed Protein Isolate (GSPI),10501,12,,,,,,80203,1,5,,,90,30,4,12,1,151.14
"Zhang, L.; Ge, H.; Zhao, J.; Liu, C.; Wang, Y. L-Theanine Improves the Gelation of Ginkgo Seed Proteins at Different pH Levels. Gels 2024, 10, 131.",https://doi.org/10.3390/gels10020131,Ginkgo Seed Protein Isolate (GSPI),10501,12,,,,,,80203,2,5,,,90,30,4,12,1,144.84
"Zhang, L.; Ge, H.; Zhao, J.; Liu, C.; Wang, Y. L-Theanine Improves the Gelation of Ginkgo Seed Proteins at Different pH Levels. Gels 2024, 10, 131.",https://doi.org/10.3390/gels10020131,Ginkgo Seed Protein Isolate (GSPI),10501,12,,,,,,,,6,,,90,30,4,12,1,95.71
"Zhang, L.; Ge, H.; Zhao, J.; Liu, C.; Wang, Y. L-Theanine Improves the Gelation of Ginkgo Seed Proteins at Different pH Levels. Gels 2024, 10, 131.",https://doi.org/10.3390/gels10020131,Ginkgo Seed Protein Isolate (GSPI),10501,12,,,,,,80203,0.5,6,,,90,30,4,12,1,107.43
"Zhang, L.; Ge, H.; Zhao, J.; Liu, C.; Wang, Y. L-Theanine Improves the Gelation of Ginkgo Seed Proteins at Different pH Levels. Gels 2024, 10, 131.",https://doi.org/10.3390/gels10020131,Ginkgo Seed Protein Isolate (GSPI),10501,12,,,,,,80203,1,6,,,90,30,4,12,1,109.45
"Zhang, L.; Ge, H.; Zhao, J.; Liu, C.; Wang, Y. L-Theanine Improves the Gelation of Ginkgo Seed Proteins at Different pH Levels. Gels 2024, 10, 131.",https://doi.org/10.3390/gels10020131,Ginkgo Seed Protein Isolate (GSPI),10501,12,,,,,,80203,2,6,,,90,30,4,12,1,118.66
"Zhang, L.; Ge, H.; Zhao, J.; Liu, C.; Wang, Y. L-Theanine Improves the Gelation of Ginkgo Seed Proteins at Different pH Levels. Gels 2024, 10, 131.",https://doi.org/10.3390/gels10020131,Ginkgo Seed Protein Isolate (GSPI),10501,12,,,,,,,,7,,,90,30,4,12,1,29.45
"Zhang, L.; Ge, H.; Zhao, J.; Liu, C.; Wang, Y. L-Theanine Improves the Gelation of Ginkgo Seed Proteins at Different pH Levels. Gels 2024, 10, 131.",https://doi.org/10.3390/gels10020131,Ginkgo Seed Protein Isolate (GSPI),10501,12,,,,,,80203,0.5,7,,,90,30,4,12,1,46.34
